what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1279209615705
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1279209615705
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1279209615707
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1279209615709
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1279209615716
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1279209615780
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1279209615780
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1279209615783
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1279209615794
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1279209615799
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1279209615800
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1279209615801
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1279209615807
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1279209615817
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1279209615825
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1279209615825
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1279209615825
os,sysinfo,,,"linux",1279209615829
arch,sysinfo,,,"x86_64",1279209615829
ws,sysinfo,,,"gtk",1279209615829
locale,sysinfo,,,"en_US",1279209615829
processors,sysinfo,,,"4",1279209615829
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1279209615829
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1279209615829
java.specification.name,sysinfo,,,"Java Platform API Specification",1279209615829
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279209615829
java.specification.version,sysinfo,,,"1.6",1279209615829
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1279209615829
java.version,sysinfo,,,"1.6.0_20",1279209615829
java.vm.info,sysinfo,,,"mixed mode",1279209615829
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1279209615829
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1279209615829
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279209615829
java.vm.specification.version,sysinfo,,,"1.0",1279209615829
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1279209615829
java.vm.version,sysinfo,,,"16.3-b01",1279209615829
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1279209615967
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1279209615970
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1279209616159
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1279209616236
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1279209616246
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1279209616256
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1279209616320
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1279209616394
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1279209616837
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1279209616897
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1279209616997
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1279209617011
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1279209617147
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1279209617303
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1279209620004
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1279209620841
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1279209621022
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1279209621064
